position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
64,64,2007,Australia,"Coal: black","60 kilometers north of Emerald, Queensland","Gregory Crinum open pit/ underground coal mine",Mine,"24. 49'  S","148. 22'  E",-23.19,148.37,F,,"BHP Billiton Mitsubishi Alliance, manager","BHP Billiton Ltd., 50%","Mitsubishi Development Pty. Ltd., 50%",Active,5500,"thousand metric tons per year",,847
65,65,2007,Australia,"Coal: black","18 kilometers southwest of Wollongong, New South Wales","Dendrobium longwall coal mine",Mine,"35. 29'  S","150. 44'  E",-34.52,150.73,F,U,"BHP Billiton Ltd.","BHP Billiton Ltd., 100%",,Active,5200,"thousand metric tons per year",,847
66,66,2007,Australia,"Coal: black","35 kilometers northwest of Singleton, New South Wales","Drayton open pit coal mine",Mine,"33. 40'  S","150. 56'  E",-32.34,150.93,F,S,"Anglo Coal Holdings Australia Ltd., manager","Anglo Coal Holdings Australia Ltd., 88.2%","Mitsui Coal Development Australia Pty. Ltd., 3.8%; Mitsui Mining (Australia) Pty. Ltd., 3%; others, 5%",Active,5000,"thousand metric tons per year",,847
67,67,2007,Australia,"Coal: black","45 kilometers northwest of Mudgee, New South Wales","Ulan underground coal mine",Mine,"33. 45'  S","149. 45'  E",-32.25,149.75,F,U,,"Xstrata plc, 90%","Mitsubishi Corp., 10%",Active,5000,"thousand metric tons per year",,847
68,68,2007,Australia,"Coal: black","85 kilometers northeast of Emerald, Queensland","Norwich Park open pit coal mine",Mine,"23. 15'  S","148. 28'  E",-22.75,148.46,F,S,,"BHP Billiton Ltd., 50%, and Mitsubishi Corp., 50%",,Active,5000,"thousand metric tons per year",,847
69,69,2007,Australia,"Coal: black","35 kilometers southwest of Newcastle, New South Wales","Mondalong underground coal mine",Mine,"34. 50'  S","151. 31'  E",-33.17,151.52,F,U,"Centennial Coal Co. Ltd.","Centennial Coal Co. Ltd., 100%",,Active,4500,"thousand metric tons per year",,847
70,70,2007,Australia,"Coal: black","90 kilometers southwest of Mackay, Queensland","South Walker Creek open pit/ underground coal mine",Mine,"22. 13'  S","148. 28'  E",-21.79,148.47,F,"S,U","BHP Mitsui Coal Pty. Ltd.","BHP Mitsui Coal Pty. Ltd., 100%",,Active,4300,"thousand metric tons per year",,847
71,71,2007,Australia,"Coal: black","10 kilometers northwest of Singleton, New South Wales","Camberwell open pit coal mine",Mine,"33. 19'  S","151. 08'  E",-32.68,151.13,F,S,"Camberwell Coal Pty. Ltd., manager","Toyota Tsusho Mining (Australia) Pty. Ltd., 90%","Dia Coal Mining (Australia) Pty. Ltd., 10%",Active,4000,"thousand metric tons per year",,847
72,72,2007,Australia,"Coal: black","10 kilometers southeast of Collie, Western Australia","Premier open pit coal mine",Mine,"34. 35'  S","116. 17'  E",-33.41,116.29,F,S,"Wesfarmers Premier Coal Ltd.","Wesfarmers Premier Coal Ltd., 100%",,Active,4000,"thousand metric tons per year",,847
73,73,2007,Australia,"Coal: black","80 kilometers west of Gladstone, Queensland","Boundary Hill open pit coal mine (includes Callide)",Mine,"25. 41'  S","150. 38'  E",-24.31,150.63,F,S,"Anglo Coal Pty. Ltd.","Anglo Coal Pty. Ltd., 100%",,Active,4000,"thousand metric tons per year",,847
74,74,2007,Australia,"Coal: black","14 kilometers northwest of Singleton, New South Wales","Ashton open pit/ underground coal mine",Mine,"33. 29'  S","151. 02'  E",-32.52,151.03,F,,"Felix Resources Ltd.","Felix Resources Ltd., 60%","Chu Corp., 10%; private, 30%",Active,4000,"thousand metric tons per year",,847
75,75,2007,Australia,"Coal: black","150 kilometers southwest of Mackay, Queensland","Coppabella open pit coal mine",Mine,"22. 08'  S","148. 26'  E",-21.86,148.44,F,S,"Australian Premium Coals Pty. Ltd., manager","Macarthur Coal Ltd., 73.3%","others, 26.7%",Active,4000,"thousand metric tons per year",,847
76,76,2007,Australia,"Coal: black","25 kilometers northwest of Singleton, New South Wales","Liddell open pit coal mine",Mine,"33. 35'  S","151. 05'  E",-32.41,151.08,F,S,"Xstrata Coal Australia Pty. Ltd.","Xstrata Coal Australia Pty. Ltd., 67.5%","Mitsui Matushima Australia Pty. Ltd., 32.5%",Active,4000,"thousand metric tons per year",,847
77,77,2007,Australia,"Coal: black","30 kilometers southwest of Newcastle, New South Wales","Newstan longwall coal mine",Mine,"33. 02'  S","151. 35'  E",-32.96,151.59,F,U,"Centennial Coal Co. Ltd.","Centennial Coal Co. Ltd., 100%",,Active,4000,"thousand metric tons per year",,847
78,78,2007,Australia,"Coal: black","90 kilometers east of Emerald, Queensland","Jellinbah East open pit coal mine",Mine,"24. 37'  S","148. 57'  E",-23.39,148.95,F,S,"Queensland Coal Mine Management Pty. Ltd.","Queensland Coal Mine Management Pty. Ltd., 70%","Marubeni Coal Pty. Ltd., 15%; Sojitz Australia Ltd., 15%",Active,4000,"thousand metric tons per year",,847
79,79,2007,Australia,"Coal: black","35 kilometers northwest of Toowoomba, Queensland","New Acland open pit coal mine",Mine,"28. 44'  S","151. 43'  E",-27.27,151.71,F,S,"New Hope Corp. Ltd.","New Hope Corp. Ltd., 100%",,Active,3750,"thousand metric tons per year",,847
80,80,2007,Australia,"Coal: black","50 kilometers northwest of Singleton, New South Wales","Dartbrook longwall coal mine",Mine,"33. 49'  S","150. 54'  E",-32.19,150.9,F,U,"Anglo Coal Holdings Australia Ltd.","Anglo Coal Holdings Australia Ltd., 77.3%",,Active,3750,"thousand metric tons per year",,847
81,81,2007,Australia,"Coal: black","80 kilometers southwest of Toowoomba, Queensland","Commodore open pit coal mine",Mine,"28. 03'  S","151. 16'  E",-27.95,151.26,F,S,"Roche Mining Pty. Ltd., operator","Intergen (Australia) Pty. Ltd. 100%",,Active,3600,"thousand metric tons per year",,847
82,82,2007,Australia,"Coal: black","Bowen Basin, Queensland","Foxleigh open pit coal mine",Mine,"23. 02'  S","148. 46'  E",-22.96,148.77,F,S,"Foxleigh Mining Pty. Ltd.","Fox Leigh Mining Pty. Ltd., 100%",,Active,3600,"thousand metric tons per year",,847
83,83,2007,Australia,"Coal: black","Lemington, 20 kilometers northwest of Singleton, New South Wales","Ravensworth-Narama open pit coal mine (includes Ravensworth East)",Mine,"33. 32'  S","151. 02'  E",-32.46,151.04,F,S,"Xstrata Coal Australia Pty. Ltd.","Xstrata Coal Australia Pty. Ltd., 100% of Ravensworth and 50% at Narama","Iluka Resources Ltd., 50% at Narama",Active,3500,"thousand metric tons per year",,847
84,84,2007,Australia,"Coal: black","10 kilometers south of Coppabella, Queensland","Moorvale open pit coal mine",Mine,"22. 01'  S","148. 23'  E",-21.98,148.39,F,S,"Macarthur Coal Ltd.","Macarthur Coal Ltd., 73.3%","CITIC Resources Australia Pty. Ltd., 7%; Sojtz Australia Ltd., 7%; Nippon Steel Australia Pty. Ltd., 2%",Active,3400,"thousand metric tons per year",,847
85,85,2007,Australia,"Coal: black","15 kilometers west of Singleton, New South Wales","United Collieries underground coal mine",Mine,"33. 28'  S","151. 00'  E",-32.53,151,F,U,"Xstrata Coal Australia Pty. Ltd.","Xstrata plc, 95%","Private, 5%",Active,3000,"thousand metric tons per year",,847
86,86,2007,Australia,"Coal: black","16 kilometers northwest of Lithgow, New South Wales","Angus Place longwall coal mine",Mine,"34. 39'  S","150. 06'  E",-33.35,150.1,F,U,"Centennial Coal Co. Ltd., manager","Centennial Coal Co. Ltd., 50%; SK Corp., 50%",,Active,3000,"thousand metric tons per year",,847
87,87,2007,Australia,"Coal: black","9 kilometers northwest of Lithgow, New South Wales","Springvale underground coal mine",Mine,"34. 36'  S","150. 07'  E",-33.4,150.11,F,U,,"Centennial Coal Co. Ltd., 50%","SK Corp, 25%; Korea Resource Corp. Australia, 25%",Active,3000,"thousand metric tons per year",,847
88,88,2007,Australia,"Coal: black","45 kilometers northwest of Singleton, New South Wales","Cumnock No. 1 open pit/longwall coal mine",Mine,"33. 43'  S","150. 49'  E",-32.29,150.81,F,S,"Cumnock Coal Ltd.","Cumnock Coal Ltd., 100%",,Active,3000,"thousand metric tons per year",,847
89,89,2007,Australia,"Coal: black","30 kilometers north of Moranbah, Queensland","Broadmeadow open pit/undergound coal mine",Mine,"22. 13'  S","148. 08'  E",-21.78,148.14,F,S,"BHP Billiton Mitsubishi Alliance","BHP Billiton Ltd., 50%; Mitsubishi Corp., 50%",,Active,3000,"thousand metric tons per year",,847
90,90,2007,Australia,"Coal: black","40 kilometers north of Moranbah, Queensland","North Goonyella longwall coal mine",Mine,"22. 16'  S","147. 59'  E",-21.74,147.98,F,U,"Peabody Energy Corp.","Peabody Energy Corp., 100%",,Active,3000,"thousand metric tons per year",,847
